Number,Code,Name,Description
1,AUS,Australia,- Australia - Christmas Island - Cocos (Keeling) Islands - Heard Island and McDonald Islands - Norfolk Island
2,NZL,New Zealand,
3,XOC,Rest of Oceania,- American Samoa - Cook Islands - Fiji - French Polynesia - Guam - Kiribati - Marshall Islands - Micronesia Federated States of - Nauru - New Caledonia - Niue - Northern Mariana Islands - Palau - Papua New Guinea - Pitcairn - Samoa - Solomon Islands - Tokelau - Tonga - Tuvalu - United States Minor Outlying Islands - Vanuatu - Wallis and Futuna
4,CHN,China,
5,HKG,Hong Kong,
6,JPN,Japan,
7,KOR,Korea Republic of,
8,MNG,Mongolia,
9,TWN,Taiwan,
10,XEA,Rest of East Asia,- Korea Democratic Peoples Republic of - Macao
11,BRN,Brunei Darussalam,
12,KHM,Cambodia,
13,IDN,Indonesia,
14,LAO,Lao People's Democratic Republic,
15,MYS,Malaysia,
16,PHL,Philippines,
17,SGP,Singapore,
18,THA,Thailand,
19,VNM,Viet Nam,
20,XSE,Rest of Southeast Asia,- Myanmar - Timor Leste
21,BGD,Bangladesh,
22,IND,India,
23,NPL,Nepal,
24,PAK,Pakistan,
25,LKA,Sri Lanka,
26,XSA,Rest of South Asia,- Afghanistan - Bhutan - Maldives
27,CAN,Canada,
28,USA,United States of America,
29,MEX,Mexico,
30,XNA,Rest of North America,- Bermuda - Greenland - Saint Pierre and Miquelon
31,ARG,Argentina,
32,BOL,Bolivia,
33,BRA,Brazil,
34,CHL,Chile,
35,COL,Colombia,
36,ECU,Ecuador,
37,PRY,Paraguay,
38,PER,Peru,
39,URY,Uruguay,
40,VEN,Venezuela,
41,XSM,Rest of South America,- Falkland Islands (Malvinas) - French Guiana - Guyana - South Georgia and the South Sandwich Islands - Suriname
42,CRI,Costa Rica,
43,GTM,Guatemala,
44,HND,Honduras,
45,NIC,Nicaragua,
46,PAN,Panama,
47,SLV,El Salvador,
48,XCA,Rest of Central America,- Belize
49,DOM,Dominican Republic,
50,JAM,Jamaica,
51,PRI,Puerto Rico,
52,TTO,Trinidad and Tobago,
53,XCB,Caribbean,- Anguilla - Antigua & Barbuda - Aruba - Bahamas - Barbados - Cayman Islands - Cuba - Dominica - Grenada - Haiti - Montserrat - Netherlands Antilles - Saint Kitts and Nevis - Saint Lucia - Saint Vincent and the Grenadines - Turks and Caicos Islands - Virgin Islands British - Virgin Islands U.S.
54,AUT,Austria,
55,BEL,Belgium,
56,CYP,Cyprus,
57,CZE,Czech Republic,
58,DNK,Denmark,
59,EST,Estonia,
60,FIN,Finland,- Aland Islands - Finland
61,FRA,France,- France - Guadeloupe - Martinique - Reunion
62,DEU,Germany,
63,GRC,Greece,
64,HUN,Hungary,
65,IRL,Ireland,
66,ITA,Italy,
67,LVA,Latvia,
68,LTU,Lithuania,
69,LUX,Luxembourg,
70,MLT,Malta,
71,NLD,Netherlands,
72,POL,Poland,
73,PRT,Portugal,
74,SVK,Slovakia,
75,SVN,Slovenia,
76,ESP,Spain,
77,SWE,Sweden,
78,GBR,United Kingdom,
79,CHE,Switzerland,
80,NOR,Norway,- Norway - Svalbard and Jan Mayen
81,XEF,Rest of EFTA,- Iceland - Liechtenstein
82,ALB,Albania,
83,BGR,Bulgaria,
84,BLR,Belarus,
85,HRV,Croatia,
86,ROU,Romania,
87,RUS,Russian Federation,
88,UKR,Ukraine,
89,XEE,Rest of Eastern Europe,- Moldova Republic of
90,XER,Rest of Europe,- Andorra - Bosnia and Herzegovina - Faroe Islands - Gibraltar - Guernsey - Holy See (Vatican City State) - Isle of Man - Jersey - Macedonia the former Yugoslav Republic of - Monaco - Montenegro - San Marino - Serbia
91,KAZ,Kazakhstan,
92,KGZ,Kyrgyzstan,
93,XSU,Rest of Former Soviet Union,- Tajikistan - Turkmenistan - Uzbekistan
94,ARM,Armenia,
95,AZE,Azerbaijan,
96,GEO,Georgia,
97,BHR,Bahrain,
98,IRN,Iran Islamic Republic of,
99,ISR,Israel,
100,JOR,Jordan,
101,KWT,Kuwait,
102,OMN,Oman,
103,QAT,Qatar,
104,SAU,Saudi Arabia,
105,TUR,Turkey,
106,ARE,United Arab Emirates,
107,XWS,Rest of Western Asia,- Iraq - Lebanon - Palestinian Territory Occupied - Syrian Arab Republic - Yemen
108,EGY,Egypt,
109,MAR,Morocco,
110,TUN,Tunisia,
111,XNF,Rest of North Africa,- Algeria - Libyan Arab Jamahiriya - Western Sahara
112,BEN,Benin,
113,BFA,Burkina Faso,
114,CMR,Cameroon,
115,CIV,Cote d'Ivoire,
116,GHA,Ghana,
117,GIN,Guinea,
118,NGA,Nigeria,
119,SEN,Senegal,
120,TGO,Togo,
121,XWF,Rest of Western Africa,"- Cape Verde - Gambia - Guinea-Bissau - Liberia - Mali - Mauritania - Niger - Saint Helena, ASCENSION AND TRISTAN DA CUNHA - Sierra Leone"
122,XCF,Central Africa,- Central African Republic - Chad - Congo - Equatorial Guinea - Gabon - Sao Tome and Principe
123,XAC,South Central Africa,- Angola - Congo the Democratic Republic of the
124,ETH,Ethiopia,
125,KEN,Kenya,
126,MDG,Madagascar,
127,MWI,Malawi,
128,MUS,Mauritius,
129,MOZ,Mozambique,
130,RWA,Rwanda,
131,TZA,Tanzania United Republic of,
132,UGA,Uganda,
133,ZMB,Zambia,
134,ZWE,Zimbabwe,
135,XEC,Rest of Eastern Africa,- Burundi - Comoros - Djibouti - Eritrea - Mayotte - Seychelles - Somalia - Sudan
136,BWA,Botswana,
137,NAM,Namibia,
138,ZAF,South Africa,
139,XSC,Rest of South African Customs Union,- Lesotho - Swaziland
140,XTW,Rest of the World,- Antarctica - Bouvet Island - British Indian Ocean Territory - French Southern Territories