Year,Category,Value,Source
1959,Total,2453,CDIAC
1960,Total,2568,CDIAC
1961,Total,2579,CDIAC
1962,Total,2685,CDIAC
1963,Total,2832,CDIAC
1964,Total,2993,CDIAC
1965,Total,3129,CDIAC
1966,Total,3287,CDIAC
1967,Total,3392,CDIAC
1968,Total,3565,CDIAC
1969,Total,3779,CDIAC
1970,Total,4051,CDIAC
1971,Total,4205,CDIAC
1972,Total,4373,CDIAC
1973,Total,4610,CDIAC
1974,Total,4618,CDIAC
1975,Total,4592,CDIAC
1976,Total,4858,CDIAC
1977,Total,5009,CDIAC
1978,Total,5065,CDIAC
1979,Total,5347,CDIAC
1980,Total,5291,CDIAC
1981,Total,5127,CDIAC
1982,Total,5082,CDIAC
1983,Total,5062,CDIAC
1984,Total,5244,CDIAC
1985,Total,5401,CDIAC
1986,Total,5566,CDIAC
1987,Total,5707,CDIAC
1988,Total,5917,CDIAC
1989,Total,6046,CDIAC
1990,Total,6053,CDIAC
1991,Total,6121,CDIAC
1992,Total,6057,CDIAC
1993,Total,6046,CDIAC
1994,Total,6150,CDIAC
1995,Total,6279,CDIAC
1996,Total,6420,CDIAC
1997,Total,6527,CDIAC
1998,Total,6546,CDIAC
1999,Total,6531,CDIAC
2000,Total,6702,CDIAC
2001,Total,6860,CDIAC
2002,Total,6958,CDIAC
2003,Total,7332,CDIAC
2004,Total,7693,CDIAC
2005,Total,7984,CDIAC
2006,Total,8266,CDIAC
2007,Total,8427,CDIAC
2008,Total,8699,CDIAC
2009,Total,8603,CDIAC
2010,Total,9024,CDIAC
2011,Total,9377,CDIAC
2012,Total,9530,CDIAC
2013,Total,9609,CDIAC
2014,Total,9690,CDIAC
2015,Total,9678,Combination
2016,Total,9736,Combination
2017,Total,9867,Combination
1959,Coal,1382,CDIAC
1960,Coal,1410,CDIAC
1961,Coal,1349,CDIAC
1962,Coal,1351,CDIAC
1963,Coal,1396,CDIAC
1964,Coal,1435,CDIAC
1965,Coal,1460,CDIAC
1966,Coal,1478,CDIAC
1967,Coal,1448,CDIAC
1968,Coal,1448,CDIAC
1969,Coal,1486,CDIAC
1970,Coal,1556,CDIAC
1971,Coal,1559,CDIAC
1972,Coal,1576,CDIAC
1973,Coal,1581,CDIAC
1974,Coal,1579,CDIAC
1975,Coal,1673,CDIAC
1976,Coal,1710,CDIAC
1977,Coal,1756,CDIAC
1978,Coal,1780,CDIAC
1979,Coal,1875,CDIAC
1980,Coal,1935,CDIAC
1981,Coal,1908,CDIAC
1982,Coal,1976,CDIAC
1983,Coal,1977,CDIAC
1984,Coal,2074,CDIAC
1985,Coal,2216,CDIAC
1986,Coal,2277,CDIAC
1987,Coal,2339,CDIAC
1988,Coal,2387,CDIAC
1989,Coal,2428,CDIAC
1990,Coal,2359,CDIAC
1991,Coal,2284,CDIAC
1992,Coal,2290,CDIAC
1993,Coal,2225,CDIAC
1994,Coal,2278,CDIAC
1995,Coal,2359,CDIAC
1996,Coal,2382,CDIAC
1997,Coal,2409,CDIAC
1998,Coal,2343,CDIAC
1999,Coal,2310,CDIAC
2000,Coal,2327,CDIAC
2001,Coal,2445,CDIAC
2002,Coal,2518,CDIAC
2003,Coal,2695,CDIAC
2004,Coal,2906,CDIAC
2005,Coal,3108,CDIAC
2006,Coal,3293,CDIAC
2007,Coal,3422,CDIAC
2008,Coal,3587,CDIAC
2009,Coal,3590,CDIAC
2010,Coal,3812,CDIAC
2011,Coal,4055,CDIAC
2012,Coal,4106,CDIAC
2013,Coal,4126,CDIAC
2014,Coal,4117,CDIAC
2015,Coal,4013,BP
2016,Coal,3950,BP
2017,Coal,3977,BP
1959,Oil,789,CDIAC
1960,Oil,849,CDIAC
1961,Oil,904,CDIAC
1962,Oil,980,CDIAC
1963,Oil,1052,CDIAC
1964,Oil,1137,CDIAC
1965,Oil,1219,CDIAC
1966,Oil,1323,CDIAC
1967,Oil,1423,CDIAC
1968,Oil,1551,CDIAC
1969,Oil,1673,CDIAC
1970,Oil,1839,CDIAC
1971,Oil,1947,CDIAC
1972,Oil,2057,CDIAC
1973,Oil,2241,CDIAC
1974,Oil,2245,CDIAC
1975,Oil,2132,CDIAC
1976,Oil,2314,CDIAC
1977,Oil,2398,CDIAC
1978,Oil,2392,CDIAC
1979,Oil,2544,CDIAC
1980,Oil,2422,CDIAC
1981,Oil,2289,CDIAC
1982,Oil,2196,CDIAC
1983,Oil,2176,CDIAC
1984,Oil,2199,CDIAC
1985,Oil,2186,CDIAC
1986,Oil,2293,CDIAC
1987,Oil,2306,CDIAC
1988,Oil,2412,CDIAC
1989,Oil,2459,CDIAC
1990,Oil,2492,CDIAC
1991,Oil,2601,CDIAC
1992,Oil,2499,CDIAC
1993,Oil,2515,CDIAC
1994,Oil,2539,CDIAC
1995,Oil,2560,CDIAC
1996,Oil,2626,CDIAC
1997,Oil,2701,CDIAC
1998,Oil,2763,CDIAC
1999,Oil,2741,CDIAC
2000,Oil,2845,CDIAC
2001,Oil,2848,CDIAC
2002,Oil,2832,CDIAC
2003,Oil,2958,CDIAC
2004,Oil,3043,CDIAC
2005,Oil,3068,CDIAC
2006,Oil,3091,CDIAC
2007,Oil,3071,CDIAC
2008,Oil,3103,CDIAC
2009,Oil,3042,CDIAC
2010,Oil,3107,CDIAC
2011,Oil,3134,CDIAC
2012,Oil,3200,CDIAC
2013,Oil,3220,CDIAC
2014,Oil,3280,CDIAC
2015,Oil,3340,BP
2016,Oil,3401,BP
2017,Oil,3449,BP
1959,Gas,206,CDIAC
1960,Gas,227,CDIAC
1961,Gas,240,CDIAC
1962,Gas,263,CDIAC
1963,Gas,286,CDIAC
1964,Gas,316,CDIAC
1965,Gas,337,CDIAC
1966,Gas,364,CDIAC
1967,Gas,392,CDIAC
1968,Gas,424,CDIAC
1969,Gas,467,CDIAC
1970,Gas,493,CDIAC
1971,Gas,530,CDIAC
1972,Gas,560,CDIAC
1973,Gas,588,CDIAC
1974,Gas,597,CDIAC
1975,Gas,604,CDIAC
1976,Gas,630,CDIAC
1977,Gas,650,CDIAC
1978,Gas,680,CDIAC
1979,Gas,721,CDIAC
1980,Gas,737,CDIAC
1981,Gas,755,CDIAC
1982,Gas,738,CDIAC
1983,Gas,739,CDIAC
1984,Gas,807,CDIAC
1985,Gas,835,CDIAC
1986,Gas,830,CDIAC
1987,Gas,892,CDIAC
1988,Gas,935,CDIAC
1989,Gas,982,CDIAC
1990,Gas,1026,CDIAC
1991,Gas,1051,CDIAC
1992,Gas,1085,CDIAC
1993,Gas,1117,CDIAC
1994,Gas,1133,CDIAC
1995,Gas,1151,CDIAC
1996,Gas,1198,CDIAC
1997,Gas,1197,CDIAC
1998,Gas,1224,CDIAC
1999,Gas,1258,CDIAC
2000,Gas,1289,CDIAC
2001,Gas,1316,CDIAC
2002,Gas,1342,CDIAC
2003,Gas,1397,CDIAC
2004,Gas,1443,CDIAC
2005,Gas,1485,CDIAC
2006,Gas,1534,CDIAC
2007,Gas,1562,CDIAC
2008,Gas,1630,CDIAC
2009,Gas,1584,CDIAC
2010,Gas,1696,CDIAC
2011,Gas,1756,CDIAC
2012,Gas,1783,CDIAC
2013,Gas,1806,CDIAC
2014,Gas,1823,CDIAC
2015,Gas,1863,BP
2016,Gas,1917,BP
2017,Gas,1968,BP
1959,Cement,39,CDIAC
1960,Cement,42,CDIAC
1961,Cement,44,CDIAC
1962,Cement,48,CDIAC
1963,Cement,50,CDIAC
1964,Cement,55,CDIAC
1965,Cement,58,CDIAC
1966,Cement,62,CDIAC
1967,Cement,64,CDIAC
1968,Cement,69,CDIAC
1969,Cement,73,CDIAC
1970,Cement,76,CDIAC
1971,Cement,81,CDIAC
1972,Cement,86,CDIAC
1973,Cement,91,CDIAC
1974,Cement,91,CDIAC
1975,Cement,91,CDIAC
1976,Cement,97,CDIAC
1977,Cement,101,CDIAC
1978,Cement,107,CDIAC
1979,Cement,109,CDIAC
1980,Cement,110,CDIAC
1981,Cement,110,CDIAC
1982,Cement,109,CDIAC
1983,Cement,112,CDIAC
1984,Cement,114,CDIAC
1985,Cement,115,CDIAC
1986,Cement,120,CDIAC
1987,Cement,125,CDIAC
1988,Cement,133,CDIAC
1989,Cement,136,CDIAC
1990,Cement,136,CDIAC
1991,Cement,140,CDIAC
1992,Cement,146,CDIAC
1993,Cement,152,CDIAC
1994,Cement,162,CDIAC
1995,Cement,171,CDIAC
1996,Cement,175,CDIAC
1997,Cement,180,CDIAC
1998,Cement,179,CDIAC
1999,Cement,187,CDIAC
2000,Cement,195,CDIAC
2001,Cement,204,CDIAC
2002,Cement,216,CDIAC
2003,Cement,232,CDIAC
2004,Cement,248,CDIAC
2005,Cement,262,CDIAC
2006,Cement,286,CDIAC
2007,Cement,306,CDIAC
2008,Cement,311,CDIAC
2009,Cement,321,CDIAC
2010,Cement,342,CDIAC
2011,Cement,368,CDIAC
2012,Cement,376,CDIAC
2013,Cement,390,CDIAC
2014,Cement,403,CDIAC
2015,Cement,393,US Geological Survey
2016,Cement,399,US Geological Survey
2017,Cement,403,US Geological Survey
1959,Flaring,36,CDIAC
1960,Flaring,39,CDIAC
1961,Flaring,42,CDIAC
1962,Flaring,44,CDIAC
1963,Flaring,47,CDIAC
1964,Flaring,51,CDIAC
1965,Flaring,55,CDIAC
1966,Flaring,60,CDIAC
1967,Flaring,66,CDIAC
1968,Flaring,73,CDIAC
1969,Flaring,80,CDIAC
1970,Flaring,87,CDIAC
1971,Flaring,88,CDIAC
1972,Flaring,95,CDIAC
1973,Flaring,110,CDIAC
1974,Flaring,107,CDIAC
1975,Flaring,92,CDIAC
1976,Flaring,108,CDIAC
1977,Flaring,104,CDIAC
1978,Flaring,106,CDIAC
1979,Flaring,98,CDIAC
1980,Flaring,86,CDIAC
1981,Flaring,65,CDIAC
1982,Flaring,64,CDIAC
1983,Flaring,58,CDIAC
1984,Flaring,51,CDIAC
1985,Flaring,49,CDIAC
1986,Flaring,46,CDIAC
1987,Flaring,44,CDIAC
1988,Flaring,50,CDIAC
1989,Flaring,41,CDIAC
1990,Flaring,40,CDIAC
1991,Flaring,45,CDIAC
1992,Flaring,36,CDIAC
1993,Flaring,37,CDIAC
1994,Flaring,39,CDIAC
1995,Flaring,39,CDIAC
1996,Flaring,40,CDIAC
1997,Flaring,40,CDIAC
1998,Flaring,36,CDIAC
1999,Flaring,35,CDIAC
2000,Flaring,46,CDIAC
2001,Flaring,47,CDIAC
2002,Flaring,49,CDIAC
2003,Flaring,48,CDIAC
2004,Flaring,54,CDIAC
2005,Flaring,60,CDIAC
2006,Flaring,62,CDIAC
2007,Flaring,66,CDIAC
2008,Flaring,69,CDIAC
2009,Flaring,66,CDIAC
2010,Flaring,67,CDIAC
2011,Flaring,64,CDIAC
2012,Flaring,65,CDIAC
2013,Flaring,68,CDIAC
2014,Flaring,68,CDIAC
2015,Flaring,68,Constant
2016,Flaring,68,Constant
2017,Flaring,68,Constant