Year,Fossil-Fuel-Industry,Land-Use-Change,Atmospheric-Growth,Ocean-Sink
1750,,,-0.078,
1751,0.003,,-0.074,
1752,0.003,,-0.071,
1753,0.003,,-0.068,
1754,0.003,,-0.064,
1755,0.003,,-0.058,
1756,0.003,,-0.050,
1757,0.003,,-0.040,
1758,0.003,,-0.028,
1759,0.003,,-0.014,
1760,0.003,,0.002,
1761,0.003,,0.020,
1762,0.003,,0.040,
1763,0.003,,0.063,
1764,0.003,,0.087,
1765,0.003,,0.112,
1766,0.003,,0.135,
1767,0.003,,0.156,
1768,0.003,,0.174,
1769,0.003,,0.191,
1770,0.003,,0.205,
1771,0.004,,0.216,
1772,0.004,,0.226,
1773,0.004,,0.233,
1774,0.004,,0.238,
1775,0.004,,0.243,
1776,0.004,,0.248,
1777,0.004,,0.256,
1778,0.004,,0.266,
1779,0.004,,0.278,
1780,0.004,,0.292,
1781,0.005,,0.315,0.074
1782,0.005,,0.348,0.082
1783,0.005,,0.379,0.090
1784,0.005,,0.406,0.102
1785,0.005,,0.430,0.104
1786,0.005,,0.449,0.117
1787,0.005,,0.466,0.124
1788,0.005,,0.479,0.131
1789,0.005,,0.488,0.133
1790,0.005,,0.494,0.140
1791,0.006,,0.496,0.147
1792,0.006,,0.494,0.149
1793,0.006,,0.489,0.156
1794,0.006,,0.481,0.157
1795,0.006,,0.469,0.164
1796,0.006,,0.455,0.165
1797,0.007,,0.439,0.166
1798,0.007,,0.422,0.167
1799,0.007,,0.402,0.167
1800,0.008,,0.381,0.173
1801,0.008,,0.362,0.173
1802,0.010,,0.342,0.173
1803,0.009,,0.322,0.174
1804,0.009,,0.300,0.174
1805,0.009,,0.277,0.174
1806,0.010,,0.253,0.174
1807,0.010,,0.228,0.173
1808,0.010,,0.202,0.173
1809,0.010,,0.174,0.173
1810,0.010,,0.146,0.173
1811,0.011,,0.116,0.167
1812,0.011,,0.085,0.166
1813,0.011,,0.053,0.166
1814,0.011,,0.019,0.160
1815,0.012,,-0.015,0.160
1816,0.013,,-0.044,0.159
1817,0.014,,-0.068,0.158
1818,0.014,,-0.085,0.158
1819,0.014,,-0.096,0.152
1820,0.014,,-0.100,0.151
1821,0.014,,-0.098,0.151
1822,0.015,,-0.090,0.150
1823,0.016,,-0.075,0.144
1824,0.016,,-0.054,0.143
1825,0.017,,-0.027,0.142
1826,0.017,,0.006,0.142
1827,0.018,,0.043,0.141
1828,0.018,,0.068,0.140
1829,0.018,,0.088,0.135
1830,0.024,,0.106,0.135
1831,0.023,,0.122,0.134
1832,0.023,,0.137,0.134
1833,0.024,,0.149,0.134
1834,0.024,,0.160,0.134
1835,0.025,,0.179,0.134
1836,0.029,,0.205,0.134
1837,0.029,,0.237,0.135
1838,0.030,,0.274,0.136
1839,0.031,,0.316,0.137
1840,0.033,,0.361,0.133
1841,0.034,,0.409,0.139
1842,0.036,,0.455,0.140
1843,0.037,,0.480,0.141
1844,0.039,,0.479,0.143
1845,0.043,,0.456,0.144
1846,0.043,,0.421,0.150
1847,0.046,,0.377,0.151
1848,0.047,,0.323,0.157
1849,0.050,,0.259,0.158
1850,0.054,0.688,0.189,0.164
1851,0.054,0.692,0.126,0.165
1852,0.057,0.697,0.070,0.172
1853,0.059,0.702,0.010,0.173
1854,0.069,0.705,-0.039,0.174
1855,0.071,0.707,-0.063,0.181
1856,0.076,0.711,-0.063,0.182
1857,0.077,0.717,-0.053,0.189
1858,0.078,0.723,-0.036,0.196
1859,0.083,0.726,-0.014,0.198
1860,0.091,0.696,0.015,0.200
1861,0.095,0.687,0.051,0.207
1862,0.097,0.683,0.095,0.219
1863,0.104,0.681,0.146,0.226
1864,0.112,0.679,0.207,0.229
1865,0.119,0.679,0.274,0.236
1866,0.122,0.676,0.334,0.244
1867,0.130,0.674,0.385,0.252
1868,0.135,0.672,0.427,0.260
1869,0.142,0.673,0.458,0.268
1870,0.147,0.742,0.481,0.271
1871,0.156,0.772,0.495,0.279
1872,0.173,0.791,0.497,0.288
1873,0.184,0.811,0.486,0.296
1874,0.174,0.827,0.462,0.305
1875,0.188,0.842,0.431,0.313
1876,0.191,0.854,0.410,0.322
1877,0.194,0.864,0.404,0.335
1878,0.196,0.873,0.414,0.344
1879,0.210,0.879,0.437,0.353
1880,0.236,0.876,0.468,0.362
1881,0.243,0.890,0.503,0.370
1882,0.256,0.900,0.545,0.379
1883,0.272,0.911,0.591,0.387
1884,0.275,0.920,0.646,0.396
1885,0.277,0.928,0.718,0.404
1886,0.281,0.932,0.782,0.407
1887,0.295,0.936,0.821,0.415
1888,0.327,0.940,0.838,0.419
1889,0.327,0.946,0.851,0.426
1890,0.356,0.979,0.862,0.434
1891,0.372,1.005,0.860,0.436
1892,0.374,1.021,0.843,0.444
1893,0.370,1.032,0.811,0.451
1894,0.383,1.044,0.772,0.459
1895,0.406,1.054,0.726,0.462
1896,0.419,1.063,0.664,0.469
1897,0.440,1.073,0.590,0.477
1898,0.465,1.078,0.531,0.480
1899,0.507,1.081,0.496,0.488
1900,0.534,1.119,0.482,0.491
1901,0.552,1.149,0.483,0.499
1902,0.566,1.167,0.498,0.502
1903,0.617,1.183,0.525,0.511
1904,0.624,1.197,0.563,0.520
1905,0.663,1.208,0.608,0.523
1906,0.707,1.215,0.641,0.532
1907,0.784,1.226,0.668,0.541
1908,0.750,1.228,0.688,0.550
1909,0.785,1.238,0.699,0.558
1910,0.819,1.215,0.707,0.562
1911,0.836,1.208,0.724,0.570
1912,0.879,1.197,0.755,0.574
1913,0.943,1.190,0.788,0.582
1914,0.850,1.170,0.814,0.585
1915,0.838,1.160,0.834,0.594
1916,0.901,1.151,0.846,0.597
1917,0.955,1.146,0.847,0.605
1918,0.936,1.145,0.834,0.613
1919,0.806,1.145,0.808,0.616
1920,0.932,1.197,0.774,0.624
1921,0.803,1.227,0.748,0.632
1922,0.845,1.250,0.732,0.634
1923,0.970,1.261,0.725,0.642
1924,0.963,1.271,0.727,0.645
1925,0.975,1.278,0.732,0.652
1926,0.983,1.282,0.745,0.654
1927,1.062,1.287,0.760,0.656
1928,1.065,1.288,0.778,0.663
1929,1.145,1.286,0.789,0.664
1930,1.053,1.349,0.791,0.665
1931,0.940,1.390,0.790,0.667
1932,0.847,1.413,0.788,0.672
1933,0.893,1.441,0.786,0.673
1934,0.973,1.460,0.782,0.674
1935,1.027,1.478,0.774,0.674
1936,1.130,1.496,0.758,0.674
1937,1.209,1.506,0.738,0.674
1938,1.142,1.513,0.713,0.673
1939,1.192,1.516,0.671,0.673
1940,1.299,1.543,0.606,0.673
1941,1.334,1.566,0.523,0.668
1942,1.342,1.562,0.429,0.668
1943,1.391,1.554,0.334,0.669
1944,1.383,1.544,0.259,0.670
1945,1.160,1.533,0.214,0.671
1946,1.238,1.523,0.203,0.678
1947,1.392,1.512,0.215,0.681
1948,1.469,1.496,0.250,0.689
1949,1.419,1.471,0.303,0.693
1950,1.630,1.551,0.362,0.703
1951,1.767,1.599,0.418,0.712
1952,1.795,1.617,0.479,0.728
1953,1.841,1.645,0.547,0.745
1954,1.865,1.674,0.622,0.757
1955,2.042,1.699,0.699,0.770
1956,2.177,1.731,0.774,0.783
1957,2.270,1.758,0.870,0.793
1958,2.330,1.789,1.020,0.808
1959,2.453,1.811,1.175,0.834
1960,2.568,1.673,1.310,0.885
1961,2.580,1.608,1.434,0.916
1962,2.685,1.567,1.550,0.943
1963,2.833,1.514,1.658,0.960
1964,2.994,1.464,1.762,0.957
1965,3.129,1.418,1.861,0.977
1966,3.288,1.376,1.956,1.043
1967,3.393,1.355,2.049,1.090
1968,3.565,1.354,2.138,1.115
1969,3.779,1.363,2.225,1.179
1970,4.052,1.322,2.310,1.239
1971,4.206,1.285,2.392,1.249
1972,4.373,1.247,2.473,1.274
1973,4.611,1.219,2.551,1.369
1974,4.619,1.179,2.627,1.407
1975,4.592,1.148,2.700,1.396
1976,4.858,1.130,2.770,1.426
1977,5.010,1.106,2.837,1.488
1978,5.066,1.069,2.899,1.565
1979,5.348,1.043,2.955,1.607
1980,5.292,1.086,3.004,1.658
1981,5.127,1.096,3.046,1.697
1982,5.083,1.108,3.084,1.712
1983,5.063,1.150,3.118,1.756
1984,5.245,1.186,3.148,1.810
1985,5.402,1.204,3.174,1.844
1986,5.567,1.242,3.197,1.868
1987,5.708,1.279,3.216,1.905
1988,5.917,1.297,3.231,1.990
1989,6.046,1.323,3.243,2.030
1990,6.054,1.322,3.252,2.011
1991,6.122,1.333,3.261,2.010
1992,6.058,1.348,3.273,1.994
1993,6.046,1.349,3.290,1.967
1994,6.150,1.345,3.311,1.998
1995,6.279,1.331,3.335,2.079
1996,6.420,1.306,3.361,2.127
1997,6.527,1.780,3.388,2.142
1998,6.546,1.228,3.412,2.207
1999,6.531,1.202,3.433,2.281
2000,6.703,1.316,3.449,2.270
2001,6.861,1.178,3.461,2.274
2002,6.958,1.338,3.469,2.330
2003,7.333,1.387,3.474,2.411
2004,7.693,1.336,3.476,2.457
2005,7.984,1.214,,2.486
2006,8.266,1.254,,2.539
2007,8.428,1.073,,2.555
2008,8.700,1.128,,2.564
2009,8.603,1.573,,2.594
2010,9.025,1.419,,2.648
2011,9.377,1.355,,
2012,9.530,1.599,,
2013,9.609,1.542,,
2014,9.690,1.602,,
2015,9.679,1.623,,
2016,9.737,1.300,,
2017,9.867,1.388,,