Year,Terrestrial-Sink,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,JSBACH,JULES,LPJ-GUESS ,LPJ ,LPX-Bern,OCN,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,SURFEX,VISIT,MMM
1959,0.516,0.464,-0.189,1.117,0.684,1.170,0.481,1.094,-0.057,-0.540,0.059,1.041,0.206,0.518,0.145,0.811,1.255,0.516
1960,1.394,2.613,1.288,1.302,1.716,1.469,2.073,1.147,1.453,0.460,0.868,1.085,1.223,1.559,0.758,1.385,1.905,1.394
1961,0.605,1.872,1.167,0.375,0.467,0.883,1.611,0.975,-0.138,-0.636,-0.286,1.297,-0.003,1.179,-1.068,0.579,1.407,0.605
1962,1.348,2.170,1.986,1.050,1.088,1.405,2.285,2.098,1.144,0.268,-0.046,1.777,1.425,1.107,-0.103,1.510,2.410,1.348
1963,0.878,1.930,0.200,0.749,0.570,1.075,1.537,1.947,-0.716,-0.523,-0.173,1.569,0.186,1.424,0.284,1.769,2.216,0.878
1964,1.401,2.360,1.119,1.734,1.770,1.939,1.496,2.528,1.773,0.766,0.943,1.898,1.051,1.125,0.281,0.142,1.483,1.401
1965,0.423,2.046,0.005,1.006,0.646,1.248,0.362,0.951,-1.023,-0.604,-1.276,0.721,1.620,0.353,-1.642,1.064,1.294,0.423
1966,1.278,1.919,1.786,1.530,1.635,1.312,1.810,0.324,0.986,0.120,0.937,1.591,0.679,1.919,1.706,0.820,1.381,1.278
1967,1.628,2.605,0.642,1.593,1.719,1.861,1.848,2.615,1.100,0.897,1.071,2.655,1.278,1.442,1.291,1.638,1.800,1.628
1968,2.531,3.090,2.200,2.211,2.568,2.486,1.841,3.235,3.900,2.513,2.249,2.842,2.509,1.878,2.326,1.809,2.831,2.531
1969,0.504,1.053,0.619,1.230,-0.162,0.363,1.540,-0.221,0.364,0.183,0.279,0.726,-0.648,0.662,0.481,0.728,0.872,0.504
1970,0.442,1.697,0.415,1.365,0.857,0.662,1.354,-0.775,0.178,-1.073,0.030,0.601,0.237,0.584,-0.630,0.725,0.842,0.442
1971,2.462,3.791,2.773,1.703,3.524,2.442,1.632,2.971,2.808,2.054,1.915,2.784,2.991,2.145,1.766,1.408,2.690,2.462
1972,1.048,1.237,1.086,0.887,1.121,0.709,-0.762,0.112,2.092,1.539,1.225,1.743,0.102,0.555,1.106,2.071,1.944,1.048
1973,1.461,2.504,1.777,2.036,2.270,1.758,1.788,-0.503,3.280,0.698,0.629,2.238,0.065,1.538,2.605,-0.289,0.978,1.461
1974,4.072,5.663,4.705,2.464,3.687,3.285,4.614,5.068,4.953,3.744,3.621,4.361,3.923,4.109,3.234,3.289,4.428,4.072
1975,2.437,2.749,3.320,2.298,2.476,2.072,2.053,2.690,2.648,2.077,2.243,3.283,2.147,1.947,1.918,1.585,3.490,2.437
1976,2.958,4.017,2.719,2.939,2.863,2.737,1.363,4.366,2.421,4.237,2.244,3.666,2.642,1.999,2.383,2.339,4.389,2.958
1977,1.418,2.298,1.540,1.989,0.753,1.040,0.946,1.339,0.384,1.704,1.657,2.509,0.031,1.448,0.868,1.442,2.738,1.418
1978,2.818,3.841,4.022,2.539,2.470,2.473,3.348,3.324,2.988,2.611,1.858,2.825,1.679,3.011,3.135,1.884,3.082,2.818
1979,1.536,2.722,1.049,2.123,1.481,1.540,2.550,1.093,0.855,1.203,0.791,2.109,0.433,1.191,1.056,1.924,2.461,1.536
1980,0.519,1.720,-0.426,1.443,1.105,1.099,1.255,-0.144,-0.604,-0.646,-1.065,1.195,0.986,0.771,-0.563,0.673,1.511,0.519
1981,2.274,3.329,2.514,2.285,3.034,2.160,2.805,2.091,1.669,1.071,0.887,3.581,1.949,2.781,1.918,1.903,2.411,2.274
1982,1.555,2.643,0.824,1.886,2.095,2.099,1.083,1.229,1.685,1.835,0.708,2.167,0.964,0.725,0.310,2.057,2.568,1.555
1983,0.217,1.094,-1.163,1.195,1.017,0.871,1.429,-0.159,-1.004,-0.762,-1.627,1.311,-0.257,0.390,0.406,0.299,0.424,0.217
1984,2.832,4.430,3.628,2.431,3.962,2.660,2.858,1.738,3.131,2.443,2.245,3.233,2.416,2.585,1.543,2.207,3.805,2.832
1985,2.641,4.094,3.351,2.571,2.697,2.689,3.480,1.814,2.814,2.384,1.308,3.385,1.871,2.375,1.938,2.748,2.732,2.641
1986,2.251,3.156,2.318,3.042,2.755,2.287,2.336,2.196,2.415,2.053,0.011,3.110,1.606,1.738,1.881,2.169,2.947,2.251
1987,0.318,1.287,-0.443,1.542,0.639,0.622,0.943,-0.967,-1.493,0.250,-1.009,1.622,-1.281,0.345,-0.279,1.932,1.373,0.318
1988,1.890,3.000,1.596,2.318,3.104,2.182,3.260,2.218,0.295,0.024,0.721,3.102,1.280,2.338,1.892,1.244,1.668,1.890
1989,3.518,4.464,4.329,2.576,4.227,3.160,3.346,3.979,4.122,3.283,2.892,4.095,3.030,2.931,2.731,3.123,3.995,3.518
1990,2.342,2.634,3.516,2.997,2.048,1.984,2.471,1.638,3.022,2.567,1.961,3.055,0.454,1.733,1.760,2.644,2.983,2.342
1991,2.144,3.250,1.879,2.944,2.577,2.460,3.037,2.691,0.421,1.497,0.376,3.231,1.339,1.932,1.339,2.485,2.839,2.144
1992,2.013,3.552,0.776,2.605,3.224,3.374,0.957,2.127,2.331,3.003,0.454,2.632,1.596,1.422,1.371,1.663,1.124,2.013
1993,2.885,4.615,2.668,3.097,3.281,2.922,2.265,2.892,3.568,3.339,1.898,3.997,2.099,2.523,1.712,2.699,2.587,2.885
1994,1.486,2.128,1.443,2.053,1.482,1.313,1.753,1.773,0.096,0.928,0.480,2.496,0.840,1.732,0.531,2.216,2.513,1.486
1995,1.643,2.377,1.112,2.460,1.852,1.551,2.075,1.642,0.951,0.580,0.041,2.712,1.026,1.748,2.147,2.094,1.916,1.643
1996,3.141,5.147,3.946,2.407,2.943,2.720,2.612,2.151,4.835,2.654,2.805,3.428,2.779,3.258,2.699,2.237,3.629,3.141
1997,2.985,4.009,3.125,2.676,2.585,2.293,3.618,3.060,3.258,3.317,2.613,3.782,0.858,2.713,3.720,2.900,3.229,2.985
1998,1.345,1.303,2.377,2.149,0.568,0.634,3.886,0.526,0.506,0.007,1.067,1.846,-1.278,1.846,1.908,1.895,2.277,1.345
1999,3.705,4.918,3.427,3.341,4.268,3.500,4.765,3.993,3.514,3.296,2.901,4.033,3.404,3.647,2.109,3.297,4.867,3.705
2000,3.987,4.978,5.411,3.261,3.811,3.220,4.915,4.709,4.171,3.900,3.349,4.436,2.983,3.968,2.349,3.466,4.864,3.987
2001,2.407,3.591,3.617,2.653,2.282,2.343,2.736,2.671,0.968,1.961,0.902,3.296,0.314,2.091,2.215,2.939,3.934,2.407
2002,0.909,2.170,0.388,2.358,1.289,1.415,1.120,0.731,-0.620,0.205,-0.914,1.811,0.099,0.973,-0.335,2.444,1.407,0.909
2003,2.314,3.318,2.111,2.738,2.879,2.153,3.780,1.855,1.718,1.281,0.424,3.297,0.615,2.302,3.074,2.741,2.744,2.314
2004,3.464,5.255,3.446,3.048,3.256,3.314,3.581,3.326,4.849,3.445,2.164,4.307,2.176,3.226,2.637,3.217,4.169,3.464
2005,1.607,1.694,1.434,2.755,2.479,1.500,1.647,1.805,0.586,1.234,0.052,2.754,-0.051,1.510,1.535,2.690,2.087,1.607
2006,3.122,3.948,2.319,2.847,3.954,2.820,3.344,3.044,2.654,2.637,2.168,3.968,2.065,3.066,3.813,3.334,3.965,3.122
2007,2.792,4.394,2.901,2.886,3.552,2.486,4.082,3.724,1.605,1.728,0.699,3.495,1.887,2.737,1.141,3.078,4.287,2.792
2008,3.709,4.919,3.942,2.611,4.064,3.450,4.630,4.151,4.866,3.137,2.440,4.332,3.366,3.438,1.982,3.205,4.809,3.709
2009,2.773,3.888,2.985,2.582,2.948,2.206,3.485,2.409,2.435,3.410,2.004,3.547,1.160,1.969,2.366,3.082,3.890,2.773
2010,3.099,3.875,4.203,3.363,2.633,2.040,5.214,1.487,3.730,2.456,1.667,3.779,0.626,3.275,4.292,2.901,4.049,3.099
2011,4.254,6.027,4.319,3.762,4.396,3.763,4.629,5.215,4.257,4.162,2.761,5.234,2.943,3.904,2.968,4.036,5.696,4.254
2012,2.489,3.229,2.305,2.977,2.911,2.372,2.632,2.974,0.219,1.777,0.948,3.744,1.527,2.337,1.639,4.137,4.104,2.489
2013,3.268,5.035,3.744,2.940,3.524,2.895,4.566,2.576,4.146,3.499,2.407,3.533,1.392,2.785,2.175,3.097,3.965,3.268
2014,3.803,5.283,4.158,3.734,4.334,3.422,3.370,3.412,4.036,4.432,2.575,4.869,1.634,3.506,3.176,3.720,5.192,3.803
2015,1.838,2.832,0.816,2.631,1.805,2.165,1.566,2.062,-0.233,2.301,-0.292,3.560,-0.270,1.395,2.122,3.941,3.003,1.838
2016,2.577,3.733,2.648,3.328,3.026,2.445,3.662,1.126,2.391,2.371,1.624,3.927,-0.024,2.613,3.847,2.422,2.094,2.577
2017,3.782,5.038,4.968,3.140,3.440,3.340,4.076,3.091,4.358,3.315,2.587,4.397,2.603,4.007,3.148,4.381,4.626,3.782