Year,Ocean-Sink,CCSM-BEC,MITgcm-REcoM2,MPIOM-HAMOCC,NEMO3.6-PISCESv2-gas (CNRM),NEMO-PISCES (IPSL),NEMO-PlankTOM5,NorESM-OC,Landschützer,Rödenbeck
1959,0.852,1.028,0.430,0.836,1.110,0.498,0.886,1.178,,
1960,0.819,0.815,0.570,0.793,0.980,0.507,0.919,1.149,,
1961,0.715,0.722,0.430,0.788,0.700,0.414,0.877,1.073,,
1962,0.757,0.686,0.580,0.751,0.670,0.382,0.974,1.254,,
1963,0.905,0.820,0.710,0.815,0.870,0.578,1.114,1.428,,
1964,1.142,1.131,0.770,1.007,1.280,0.937,1.335,1.532,,
1965,1.293,1.327,0.840,1.132,1.550,0.958,1.527,1.715,,
1966,1.277,1.346,0.880,1.077,1.380,0.948,1.583,1.723,,
1967,1.070,1.096,0.750,0.880,1.190,0.769,1.280,1.526,,
1968,1.101,1.002,0.920,1.027,1.220,0.696,1.259,1.581,,
1969,1.139,1.109,0.930,0.850,1.060,0.955,1.384,1.682,,
1970,1.088,0.997,0.790,1.055,1.170,0.860,1.175,1.568,,
1971,1.155,1.100,0.960,1.068,1.230,0.847,1.266,1.616,,
1972,1.373,1.407,1.100,1.195,1.290,1.116,1.625,1.875,,
1973,1.380,1.226,1.010,1.138,1.400,1.269,1.697,1.921,,
1974,1.289,1.137,1.120,1.157,1.310,1.000,1.430,1.868,,
1975,1.361,1.232,1.100,1.247,1.340,1.163,1.631,1.812,,
1976,1.371,1.256,1.050,1.035,1.410,1.192,1.671,1.982,,
1977,1.477,1.524,1.000,1.244,1.440,1.329,1.750,2.052,,
1978,1.495,1.464,1.060,1.407,1.420,1.401,1.714,1.997,,
1979,1.296,0.964,1.030,0.992,1.450,1.227,1.555,1.852,,
1980,1.649,1.509,1.440,1.495,1.620,1.558,1.764,2.154,,
1981,1.607,1.483,1.500,1.522,1.510,1.397,1.677,2.162,,
1982,1.674,1.508,1.490,1.340,1.690,1.643,1.836,2.214,1.272,1.790
1983,1.828,1.739,1.590,1.510,1.680,1.818,2.066,2.396,1.315,1.630
1984,1.749,1.603,1.480,1.598,1.760,1.608,1.849,2.344,1.363,1.840
1985,1.690,1.382,1.510,1.393,1.590,1.689,1.944,2.321,1.306,1.880
1986,1.789,1.454,1.620,1.656,1.720,1.762,1.923,2.385,1.354,1.820
1987,1.813,1.388,1.620,1.542,1.990,1.806,2.013,2.330,1.444,1.590
1988,1.706,1.421,1.630,1.678,1.500,1.698,1.801,2.214,1.274,1.680
1989,1.713,1.313,1.550,1.540,1.660,1.703,1.886,2.339,1.193,1.490
1990,1.841,1.470,1.610,1.724,1.890,1.840,1.983,2.368,1.274,1.580
1991,1.920,1.577,1.710,1.734,2.020,1.922,2.066,2.410,1.357,1.920
1992,2.155,1.898,1.870,1.942,2.370,2.124,2.210,2.674,1.409,2.330
1993,2.073,1.758,1.770,1.762,2.290,2.078,2.192,2.659,1.424,2.030
1994,1.954,1.624,1.700,1.886,2.060,1.932,1.974,2.502,1.316,1.510
1995,1.896,1.485,1.840,1.803,1.990,1.845,1.899,2.408,1.135,1.490
1996,1.836,1.464,1.790,1.867,1.870,1.776,1.749,2.337,1.024,1.380
1997,1.918,1.496,1.790,1.638,2.080,1.983,2.009,2.429,1.219,1.630
1998,2.088,1.669,1.990,1.620,2.140,2.353,2.389,2.459,1.007,1.980
1999,1.969,1.501,1.880,1.759,1.970,2.070,2.093,2.508,0.765,1.570
2000,1.908,1.475,1.860,1.889,1.980,1.801,1.859,2.494,0.761,1.330
2001,1.773,1.367,1.590,1.717,1.860,1.748,1.724,2.407,0.766,0.960
2002,2.127,1.780,2.060,2.202,1.900,2.203,2.099,2.644,1.032,1.830
2003,2.160,1.711,1.980,2.068,2.260,2.225,2.102,2.774,1.259,2.040
2004,2.081,1.638,1.980,2.024,2.040,2.157,2.041,2.690,1.303,2.100
2005,2.132,1.653,2.040,2.072,2.040,2.235,2.161,2.720,1.426,1.810
2006,2.206,1.692,2.130,2.056,2.140,2.370,2.226,2.830,1.564,1.770
2007,2.294,1.757,2.290,2.277,2.230,2.415,2.335,2.755,1.597,1.570
2008,2.195,1.502,2.230,2.045,2.170,2.323,2.219,2.876,1.676,1.580
2009,2.298,1.724,2.180,2.291,2.400,2.422,2.303,2.764,1.859,1.990
2010,2.234,1.721,2.020,1.983,2.400,2.479,2.299,2.739,1.817,2.150
2011,2.411,1.869,2.390,2.529,2.320,2.505,2.362,2.903,1.908,2.140
2012,2.460,1.943,2.270,2.253,2.420,2.644,2.637,3.050,1.990,2.160
2013,2.493,2.054,2.240,2.320,2.530,2.705,2.545,3.054,1.843,2.370
2014,2.556,2.009,2.400,2.393,2.590,2.837,2.539,3.128,1.854,2.550
2015,2.580,1.910,2.440,2.318,2.710,2.900,2.536,3.248,2.005,2.070
2016,2.636,2.073,2.490,2.490,2.740,2.963,2.500,3.199,2.061,2.640
2017,2.506,1.942,2.280,2.406,2.470,2.810,2.495,3.142,2.083,2.240